Signal,Noise,signal_A1,signal_A2,signal_A3
-40,-95,-45,-41,-50
-40,-95,-45,-41,-50
-40,-95,-45,-41,-50
-32,-95,-37,-34,-51
-32,-95,-37,-34,-51
-32,-95,-37,-34,-51
-32,-95,-37,-34,-51
-32,-95,-37,-34,-51
-32,-95,-37,-34,-51
-32,-95,-37,-34,-51
-32,-95,-37,-34,-51
-32,-95,-37,-34,-51
-32,-95,-37,-34,-51
-32,-95,-37,-34,-51
-32,-95,-37,-34,-51
-32,-95,-37,-34,-51
-32,-95,-37,-34,-51
-31,-95,-37,-33,-51
-31,-95,-37,-33,-51
-31,-95,-37,-33,-51
-31,-95,-37,-33,-51
-31,-95,-37,-33,-51
-31,-95,-37,-33,-51
-31,-95,-37,-33,-51
-31,-95,-37,-33,-51
