Signal,Noise,signal_A1,signal_A2,signal_A3
-38,-95,-42,-44,-43
-38,-95,-42,-44,-43
-38,-95,-42,-44,-43
-38,-95,-42,-44,-43
-38,-95,-42,-44,-43
-50,-95,-50,-61,-61
-50,-95,-50,-61,-61
-50,-95,-50,-61,-61
-50,-95,-50,-61,-61
-40,-95,-46,-43,-47
-40,-95,-46,-43,-47
-40,-95,-46,-43,-47
-40,-95,-46,-43,-47
-40,-95,-46,-43,-47
-40,-95,-46,-43,-47
-41,-95,-43,-47,-49
-41,-95,-43,-47,-49
-41,-95,-43,-47,-49
-41,-95,-43,-47,-49
-40,-95,-44,-44,-48
-40,-95,-44,-44,-48
-40,-95,-44,-44,-48
-40,-95,-44,-44,-48
-41,-95,-44,-47,-47
-41,-95,-44,-47,-47
