Signal,Noise,signal_A1,signal_A2,signal_A3
-36,-95,-38,-48,-42
-36,-95,-38,-48,-42
-36,-95,-38,-48,-42
-36,-95,-38,-48,-42
-36,-95,-38,-48,-42
-36,-95,-38,-48,-42
-36,-95,-38,-48,-42
-36,-95,-38,-48,-42
-36,-95,-38,-48,-42
-36,-95,-38,-48,-42
-36,-95,-38,-48,-42
-36,-95,-38,-48,-42
-36,-95,-38,-48,-42
-36,-95,-38,-48,-42
-36,-95,-38,-48,-42
-35,-95,-36,-46,-41
-35,-95,-36,-46,-41
-35,-95,-36,-46,-41
-35,-95,-36,-46,-41
-35,-95,-36,-46,-41
-35,-95,-36,-46,-41
-35,-95,-36,-46,-41
-35,-95,-36,-46,-41
-35,-95,-36,-46,-41
-35,-95,-36,-46,-41
