iter	MultiClass
0	4.073191848
1	3.949091695
2	3.778941249
3	3.661938149
4	3.524884036
5	3.40347128
6	3.31732891
7	3.189497452
8	3.065175892
9	2.949776353
10	2.853400336
11	2.782942901
12	2.7008458
13	2.622512365
14	2.579935854
15	2.530694971
16	2.504651156
17	2.451675781
18	2.382833058
19	2.306369971
20	2.274617709
21	2.233496662
22	2.157969393
23	2.135946264
24	2.086193887
25	2.072925422
26	2.033705372
27	1.989406082
28	1.941227153
29	1.933750767
30	1.897762918
31	1.871691394
32	1.823065133
33	1.768062306
34	1.738636561
35	1.702592267
36	1.689262342
37	1.667170082
38	1.637932632
39	1.612087371
40	1.601022526
41	1.577389262
42	1.539178862
43	1.523904271
44	1.505475318
45	1.488192164
46	1.456144026
47	1.418676833
48	1.391537378
49	1.358720425
50	1.337526319
51	1.326372832
52	1.302178239
53	1.274288663
54	1.253523573
55	1.232243217
56	1.203961888
57	1.18678573
58	1.169600706
59	1.146745996
60	1.128634445
61	1.126938425
62	1.118175471
63	1.103516367
64	1.084933589
65	1.068437082
66	1.059799374
67	1.047289734
68	1.033499108
69	1.018153428
70	1.013656895
71	1.009007554
72	0.9916065843
73	0.983053796
74	0.9642818801
75	0.9450368304
76	0.9277496063
77	0.9240201071
78	0.909488778
79	0.9067437169
80	0.8951252606
81	0.8929107513
82	0.8843630781
83	0.8734014257
84	0.8593533762
85	0.8488512287
86	0.8438737255
87	0.8310655901
88	0.8214274314
89	0.8142221817
90	0.8053744465
91	0.7974824801
92	0.7911894095
93	0.7880716282
94	0.7794271902
95	0.7709498843
96	0.766682404
97	0.7583067708
98	0.7532872179
99	0.7527727827
100	0.7466034382
101	0.7413603606
102	0.7332172917
103	0.7281357236
104	0.72489707
105	0.7200877335
106	0.7180858043
107	0.7104383897
108	0.7062888709
109	0.6992124541
110	0.6963967371
111	0.6852966109
112	0.6806267718
113	0.676851569
114	0.6761972371
115	0.6727981439
116	0.6638082186
117	0.6604101011
118	0.6578039537
119	0.653348068
120	0.6478525198
121	0.6415402341
122	0.6401786003
123	0.6362832945
124	0.6321674793
125	0.6274011706
126	0.6232154353
127	0.6200719612
128	0.6148935901
129	0.610874679
130	0.6063727952
131	0.6041971558
132	0.6011766363
133	0.5937916178
134	0.5882264103
135	0.5859461228
136	0.5831919002
137	0.5767360352
138	0.5750489404
139	0.5681037933
140	0.56611088
141	0.5603802477
142	0.5588645507
143	0.554062614
144	0.5521424287
145	0.5481944011
146	0.5464238136
147	0.5407778018
148	0.5344684183
149	0.527127302
150	0.5260477107
151	0.5242645734
152	0.5227622012
153	0.5218474662
154	0.5177272247
155	0.5109737094
156	0.5085290403
157	0.5015532047
158	0.4965381738
159	0.4937760394
160	0.4910414752
161	0.489084283
162	0.4860158027
163	0.4830414118
164	0.479330805
165	0.4778709439
166	0.4736608441
167	0.4702703473
168	0.464089225
169	0.4624626938
170	0.4610300845
171	0.4593538203
172	0.4561156188
173	0.4532326103
174	0.4490021191
175	0.4452431304
176	0.4439637406
177	0.4425898487
178	0.440160449
179	0.4383974852
180	0.4373131019
181	0.4358443595
182	0.4347871336
183	0.4328066128
184	0.4308598328
185	0.4289764292
186	0.4279552599
187	0.4268045761
188	0.4258978549
189	0.4246499424
190	0.422841316
191	0.4202780238
192	0.4169037194
193	0.4122204418
194	0.408980568
195	0.4049538005
196	0.4013187979
197	0.3978810647
198	0.3966738989
199	0.3933642898
200	0.3921325701
201	0.3876570205
202	0.3866742841
203	0.3834428009
204	0.3821703913
205	0.3815696117
206	0.378865055
207	0.375078495
208	0.3744391315
209	0.3728076981
210	0.3719821876
211	0.371236845
212	0.3700075571
213	0.3695001463
214	0.3684368788
215	0.3679049798
216	0.3674858275
217	0.3649097956
218	0.3634212383
219	0.3605073143
