Signal,Noise,signal_A1,signal_A2,signal_A3
-36,-95,-42,-42,-40
-36,-95,-42,-42,-40
-36,-95,-42,-42,-40
-36,-95,-42,-42,-40
-36,-95,-42,-42,-40
-36,-95,-42,-42,-40
-36,-95,-42,-42,-40
-36,-95,-42,-42,-40
-36,-95,-42,-42,-40
-35,-95,-45,-39,-37
-35,-95,-45,-39,-37
-35,-95,-45,-39,-37
-35,-95,-45,-39,-37
-35,-95,-45,-39,-37
-35,-95,-45,-39,-37
-35,-95,-45,-39,-37
-35,-95,-45,-39,-37
-35,-95,-45,-39,-37
-35,-95,-45,-39,-37
-35,-95,-45,-39,-37
-35,-95,-45,-39,-37
-35,-95,-45,-39,-37
-36,-95,-46,-42,-38
-36,-95,-46,-42,-38
-36,-95,-46,-42,-38
